weight_monotonicity, weight_smoothness, weight_empty, weight_max_corner, weight_max_tile, weight_node_average, weight_node_access, score, max_tile
2.95, 2.65, 1.87, 0.88, 1.41, 1.48, 0.37, 10300, 1024
2.95, 2.65, 1.87, 0.88, 1.41, 1.48, 0.37, 11716, 1024
2.95, 2.65, 1.87, 0.88, 1.41, 1.48, 0.37, 11880, 1024
1.11, 2.78, 0.51, 0.98, 1.23, 0.5, 0.12, 2888, 256
1.11, 2.78, 0.51, 0.98, 1.23, 0.5, 0.12, 3084, 256
1.11, 2.78, 0.51, 0.98, 1.23, 0.5, 0.12, 3212, 256
1.11, 2.78, 0.51, 0.98, 1.23, 0.5, 0.12, 4612, 512
1.11, 2.78, 0.51, 0.98, 1.23, 0.5, 0.12, 4308, 256
1.19, 1.79, 1.9, 1.32, 0.69, 1.29, 0.31, 2360, 256
1.19, 1.79, 1.9, 1.32, 0.69, 1.29, 0.31, 3400, 256
1.19, 1.79, 1.9, 1.32, 0.69, 1.29, 0.31, 4548, 512
1.19, 1.79, 1.9, 1.32, 0.69, 1.29, 0.31, 6360, 512
